sentence,departure,arrival
"Voyager de Tourcoing à Le Havre en train, est-ce une option possible ?",Tourcoing,Le Havre
Partir de Amiens pour Orléans en train serait génial.,Amiens,Orléans
Le trajet en train de Amiens à Perpignan est long mais pittoresque.,Amiens,Perpignan
C'est le moment idéal pour un voyage de Besançon à Bordeaux en train.,Besançon,Bordeaux
Le trajet en train de Rennes à Lyon est long mais pittoresque.,Rennes,Lyon
Je vais explorer Lille en train en partant de Rennes.,Rennes,Lille
Je prévois de voyager de Amiens à Rouen en train.,Amiens,Rouen
"Allons de Marseille à La Rochelle en train, qu'en penses-tu ?",Marseille,La Rochelle
Mon prochain voyage sera de Orléans à Le Havre en train.,Orléans,Le Havre
Mon prochain voyage sera de Lille à Besançon en train.,Lille,Besançon
Partir de Rouen pour Le Havre en train serait génial.,Rouen,Le Havre
Je veux prendre le train de Béziers à Aix-en-Provence.,Béziers,Aix-en-Provence
Je veux prendre le train de Rouen à Nantes.,Rouen,Nantes
Le trajet en train de Limoges à Calais est long mais pittoresque.,Limoges,Calais
"De Clermont-Ferrand à Marseille, le train est mon choix préféré.",Clermont-Ferrand,Marseille
"Voyager de Rouen à Béziers en train, est-ce une option possible ?",Rouen,Béziers
Le voyage de Le Mans à Perpignan en train est une excellente idée.,Le Mans,Perpignan
Je veux prendre le train de Nice à Rouen.,Nice,Rouen
Partir de Nice pour Strasbourg en train serait génial.,Nice,Strasbourg
"De Saint-Étienne à Clermont-Ferrand, le train est mon choix préféré.",Saint-Étienne,Clermont-Ferrand
J'ai prévu de partir en train de La Rochelle à Bordeaux.,La Rochelle,Bordeaux
Je souhaite découvrir Besançon en prenant le train depuis Saint-Étienne.,Saint-Étienne,Besançon
Je rêve de visiter Orléans en prenant le train depuis Nice.,Nice,Orléans
J'ai prévu de partir en train de Saint-Étienne à Rouen.,Saint-Étienne,Rouen
"Pour mes prochaines vacances, je vais de Nîmes à Nice en train.",Nîmes,Nice
Le voyage de Lille à Orléans en train est une excellente idée.,Lille,Orléans
Le trajet en train de Nîmes à Perpignan est long mais pittoresque.,Nîmes,Perpignan
"Allons de Perpignan à Tourcoing en train, qu'en penses-tu ?",Perpignan,Tourcoing
Je songe à voyager en train de Béziers vers Bordeaux.,Béziers,Bordeaux
Je m'apprête à réserver un billet de train pour Limoges depuis Amiens.,Amiens,Limoges
"De Lille à Orléans, le train est le choix le plus pratique.",Lille,Orléans
Partir de Lyon pour Lille en train serait génial.,Lyon,Lille
Je souhaite découvrir Limoges en prenant le train depuis Saint-Étienne.,Saint-Étienne,Limoges
Je songe à voyager en train de Bordeaux vers Perpignan.,Bordeaux,Perpignan
Je songe à voyager en train de Calais vers Toulouse.,Calais,Toulouse
Le train de Lyon à Toulon est-il disponible demain ?,Lyon,Toulon
Le train de Saint-Étienne à Nîmes offre une vue magnifique.,Saint-Étienne,Nîmes
"Voyager de Besançon à Marseille en train, est-ce une option possible ?",Besançon,Marseille
Je prévois de voyager de Nantes à Le Mans en train.,Nantes,Le Mans
Amiens est une belle ville. Je veux y aller en train depuis Lille.,Lille,Amiens
"De Nantes à Saint-Denis, le train est mon choix préféré.",Nantes,Saint-Denis
Je m'apprête à réserver un billet de train pour Paris depuis Bordeaux.,Bordeaux,Paris
J'ai prévu de partir en train de Aix-en-Provence à Bordeaux.,Aix-en-Provence,Bordeaux
Partir de Orléans pour Toulon en train serait génial.,Orléans,Toulon
Je songe à voyager en train de Le Havre vers Nice.,Le Havre,Nice
Je souhaite découvrir Calais en prenant le train depuis Le Mans.,Le Mans,Calais
"De Limoges à La Rochelle, le train est mon choix préféré.",Limoges,La Rochelle
Mon prochain voyage sera de Montpellier à Lyon en train.,Montpellier,Lyon
Le train de Amiens à Calais est-il disponible demain ?,Amiens,Calais
Je rêve de faire un voyage en train de Amiens à Clermont-Ferrand.,Amiens,Clermont-Ferrand
Montpellier est une belle ville. Je veux y aller en train depuis Saint-Étienne.,Saint-Étienne,Montpellier
Je rêve de faire un voyage en train de Lyon à Tourcoing.,Lyon,Tourcoing
J'ai prévu de partir en train de Limoges à Bordeaux.,Limoges,Bordeaux
Le trajet en train de Nantes à Tourcoing est long mais pittoresque.,Nantes,Tourcoing
"Allons de Calais à Bordeaux en train, qu'en penses-tu ?",Calais,Bordeaux
Mon prochain voyage sera de Toulon à Rennes en train.,Toulon,Rennes
Mon prochain voyage sera de Béziers à Paris en train.,Béziers,Paris
Partir de La Rochelle pour Marseille en train serait génial.,La Rochelle,Marseille
Le train de Nice à Le Havre offre une vue magnifique.,Nice,Le Havre
"Voyager de Montpellier à Le Havre en train, est-ce une option possible ?",Montpellier,Le Havre
Partir de Orléans pour Rouen en train serait génial.,Orléans,Rouen
Partir de Clermont-Ferrand pour Nice en train serait génial.,Clermont-Ferrand,Nice
C'est le moment idéal pour un voyage de Béziers à Bordeaux en train.,Béziers,Bordeaux
Je prévois de voyager de Orléans à Rennes en train.,Orléans,Rennes
Je m'apprête à réserver un billet de train pour Montpellier depuis Pau.,Pau,Montpellier
"Pour mes prochaines vacances, je vais de Amiens à Lyon en train.",Amiens,Lyon
"De Strasbourg à Pau, le train est le choix le plus pratique.",Strasbourg,Pau
C'est le moment idéal pour un voyage de Perpignan à Pau en train.,Perpignan,Pau
C'est le moment idéal pour un voyage de Limoges à Orléans en train.,Limoges,Orléans
Je souhaite découvrir Le Mans en prenant le train depuis Paris.,Paris,Le Mans
"Pour mes prochaines vacances, je vais de Marseille à Le Havre en train.",Marseille,Le Havre
Mon prochain voyage sera de Besançon à Aix-en-Provence en train.,Besançon,Aix-en-Provence
Je rêve de faire un voyage en train de Besançon à Calais.,Besançon,Calais
Pourquoi ne pas partir de Tourcoing à Nice en train ce week-end ?,Tourcoing,Nice
Le trajet en train de Strasbourg à Rouen est long mais pittoresque.,Strasbourg,Rouen
Pourquoi ne pas partir de Nantes à Perpignan en train ce week-end ?,Nantes,Perpignan
C'est le moment idéal pour un voyage de Nice à Le Mans en train.,Nice,Le Mans
C'est le moment idéal pour un voyage de Montpellier à Orléans en train.,Montpellier,Orléans
C'est le moment idéal pour un voyage de Toulouse à Le Mans en train.,Toulouse,Le Mans
Le train de Aix-en-Provence à Besançon est-il disponible demain ?,Aix-en-Provence,Besançon
Je prévois de voyager de Calais à Lille en train.,Calais,Lille
Le train de Saint-Étienne à Tourcoing offre une vue magnifique.,Saint-Étienne,Tourcoing
Le voyage de Clermont-Ferrand à Limoges en train est une excellente idée.,Clermont-Ferrand,Limoges
Le train de Bordeaux à Saint-Denis offre une vue magnifique.,Bordeaux,Saint-Denis
Je vais explorer La Rochelle en train en partant de Aix-en-Provence.,Aix-en-Provence,La Rochelle
Partir de Besançon pour Nantes en train serait génial.,Besançon,Nantes
Le train est le meilleur moyen de se rendre de Pau à La Rochelle.,Pau,La Rochelle
"Allons de Calais à Toulouse en train, qu'en penses-tu ?",Calais,Toulouse
Le train de La Rochelle à Calais est-il disponible demain ?,La Rochelle,Calais
"De Toulon à Le Havre, le train est mon choix préféré.",Toulon,Le Havre
"Voyager de Nantes à Nice en train, est-ce une option possible ?",Nantes,Nice
Mon prochain voyage sera de Limoges à Aix-en-Provence en train.,Limoges,Aix-en-Provence
Je veux prendre le train de Calais à Nantes.,Calais,Nantes
"Voyager de Lyon à Besançon en train, est-ce une option possible ?",Lyon,Besançon
Je rêve de faire un voyage en train de Limoges à Toulon.,Limoges,Toulon
Le trajet en train de Bordeaux à Besançon est long mais pittoresque.,Bordeaux,Besançon
Je vais explorer Lyon en train en partant de Saint-Denis.,Saint-Denis,Lyon
C'est le moment idéal pour un voyage de Amiens à Nice en train.,Amiens,Nice
Je prévois de voyager de Nantes à Orléans en train.,Nantes,Orléans
Je souhaite découvrir Nice en prenant le train depuis Lyon.,Lyon,Nice
Le train de Tourcoing à Béziers est-il disponible demain ?,Tourcoing,Béziers
Je songe à voyager en train de Le Mans vers Amiens.,Le Mans,Amiens
Je rêve de visiter Amiens en prenant le train depuis La Rochelle.,La Rochelle,Amiens
Je veux prendre le train de Calais à Paris.,Calais,Paris
Mon prochain voyage sera de Besançon à Saint-Étienne en train.,Besançon,Saint-Étienne
Le train de Saint-Denis à Amiens offre une vue magnifique.,Saint-Denis,Amiens
"Allons de Aix-en-Provence à Le Mans en train, qu'en penses-tu ?",Aix-en-Provence,Le Mans
C'est le moment idéal pour un voyage de Toulouse à Le Havre en train.,Toulouse,Le Havre
"De Orléans à Aix-en-Provence, le train est le choix le plus pratique.",Orléans,Aix-en-Provence
"Voyager de Clermont-Ferrand à Strasbourg en train, est-ce une option possible ?",Clermont-Ferrand,Strasbourg
Le train de Le Mans à Bordeaux est-il disponible demain ?,Le Mans,Bordeaux
"Allons de Toulouse à Orléans en train, qu'en penses-tu ?",Toulouse,Orléans
Je m'apprête à réserver un billet de train pour Clermont-Ferrand depuis Pau.,Pau,Clermont-Ferrand
J'ai prévu de partir en train de Calais à Nantes.,Calais,Nantes
C'est le moment idéal pour un voyage de Strasbourg à Limoges en train.,Strasbourg,Limoges
Partir de Orléans pour Strasbourg en train serait génial.,Orléans,Strasbourg
C'est le moment idéal pour un voyage de Nantes à Lyon en train.,Nantes,Lyon
Je rêve de visiter Nîmes en prenant le train depuis Perpignan.,Perpignan,Nîmes
Pourquoi ne pas partir de Amiens à Rennes en train ce week-end ?,Amiens,Rennes
"De Rouen à Rennes, le train est le choix le plus pratique.",Rouen,Rennes
"De Tourcoing à Saint-Denis, le train est le choix le plus pratique.",Tourcoing,Saint-Denis
C'est le moment idéal pour un voyage de Besançon à Rouen en train.,Besançon,Rouen
"Pour mes prochaines vacances, je vais de Béziers à Amiens en train.",Béziers,Amiens
"De Bordeaux à Montpellier, le train est mon choix préféré.",Bordeaux,Montpellier
Partir de Aix-en-Provence pour Rennes en train serait génial.,Aix-en-Provence,Rennes
C'est le moment idéal pour un voyage de Orléans à Pau en train.,Orléans,Pau
Je vais explorer Toulouse en train en partant de Saint-Denis.,Saint-Denis,Toulouse
"Allons de Paris à Limoges en train, qu'en penses-tu ?",Paris,Limoges
Je rêve de visiter Rouen en prenant le train depuis Rennes.,Rennes,Rouen
Le train de Rouen à Bordeaux est-il disponible demain ?,Rouen,Bordeaux
Le train de Limoges à Lyon est-il disponible demain ?,Limoges,Lyon
Le train est le meilleur moyen de se rendre de Pau à Rouen.,Pau,Rouen
Le trajet en train de Rouen à Calais est long mais pittoresque.,Rouen,Calais
"Pour mes prochaines vacances, je vais de Saint-Denis à Amiens en train.",Saint-Denis,Amiens
Je vais explorer Le Mans en train en partant de Clermont-Ferrand.,Clermont-Ferrand,Le Mans
Mon prochain voyage sera de Pau à Aix-en-Provence en train.,Pau,Aix-en-Provence
Je songe à voyager en train de Tourcoing vers Béziers.,Tourcoing,Béziers
Je rêve de faire un voyage en train de Marseille à Lyon.,Marseille,Lyon
"Allons de Besançon à Nice en train, qu'en penses-tu ?",Besançon,Nice
J'ai prévu de partir en train de Perpignan à Orléans.,Perpignan,Orléans
J'ai prévu de partir en train de Béziers à Toulon.,Béziers,Toulon
J'ai prévu de partir en train de Le Mans à Aix-en-Provence.,Le Mans,Aix-en-Provence
Le trajet en train de Pau à La Rochelle est long mais pittoresque.,Pau,La Rochelle
"De Lille à Toulouse, le train est mon choix préféré.",Lille,Toulouse
Le train de Bordeaux à Paris est-il disponible demain ?,Bordeaux,Paris
Le trajet en train de Le Mans à Strasbourg est long mais pittoresque.,Le Mans,Strasbourg
Saint-Étienne est une belle ville. Je veux y aller en train depuis Le Mans.,Le Mans,Saint-Étienne
Je songe à voyager en train de Orléans vers Perpignan.,Orléans,Perpignan
"De Nîmes à Limoges, le train est le choix le plus pratique.",Nîmes,Limoges
Je rêve de faire un voyage en train de Nantes à Perpignan.,Nantes,Perpignan
Partir de Pau pour Montpellier en train serait génial.,Pau,Montpellier
C'est le moment idéal pour un voyage de Limoges à Rennes en train.,Limoges,Rennes
Je rêve de faire un voyage en train de Montpellier à Lille.,Montpellier,Lille
Je m'apprête à réserver un billet de train pour Marseille depuis Strasbourg.,Strasbourg,Marseille
Le train est le meilleur moyen de se rendre de Perpignan à Limoges.,Perpignan,Limoges
"Pour mes prochaines vacances, je vais de Bordeaux à Marseille en train.",Bordeaux,Marseille
"Pour mes prochaines vacances, je vais de Tourcoing à Pau en train.",Tourcoing,Pau
"Allons de Pau à Amiens en train, qu'en penses-tu ?",Pau,Amiens
Je vais explorer Le Havre en train en partant de Saint-Étienne.,Saint-Étienne,Le Havre
Partir de Amiens pour Nice en train serait génial.,Amiens,Nice
J'ai prévu de partir en train de Lyon à Bordeaux.,Lyon,Bordeaux
Partir de Strasbourg pour Lille en train serait génial.,Strasbourg,Lille
Le train de Strasbourg à Béziers est-il disponible demain ?,Strasbourg,Béziers
Le train de Rouen à Nice est-il disponible demain ?,Rouen,Nice
Le train de Rennes à Rouen est-il disponible demain ?,Rennes,Rouen
Mon prochain voyage sera de Pau à Saint-Étienne en train.,Pau,Saint-Étienne
Le train de Clermont-Ferrand à Tourcoing offre une vue magnifique.,Clermont-Ferrand,Tourcoing
Je rêve de visiter Rennes en prenant le train depuis Saint-Étienne.,Saint-Étienne,Rennes
Mon prochain voyage sera de Paris à Béziers en train.,Paris,Béziers
Je veux prendre le train de La Rochelle à Toulouse.,La Rochelle,Toulouse
Je prévois de voyager de Béziers à Clermont-Ferrand en train.,Béziers,Clermont-Ferrand
Le train est le meilleur moyen de se rendre de Saint-Denis à Le Mans.,Saint-Denis,Le Mans
Je rêve de faire un voyage en train de Strasbourg à Nîmes.,Strasbourg,Nîmes
Je vais explorer Béziers en train en partant de Clermont-Ferrand.,Clermont-Ferrand,Béziers
"Pour mes prochaines vacances, je vais de Le Mans à Toulouse en train.",Le Mans,Toulouse
Le train de Le Mans à Paris offre une vue magnifique.,Le Mans,Paris
Je veux prendre le train de Le Mans à Montpellier.,Le Mans,Montpellier
Le voyage de Toulon à Lille en train est une excellente idée.,Toulon,Lille
Je prévois de voyager de Nice à Toulouse en train.,Nice,Toulouse
Je veux prendre le train de Perpignan à Rennes.,Perpignan,Rennes
Le train de Pau à Toulouse offre une vue magnifique.,Pau,Toulouse
Le train est le meilleur moyen de se rendre de Clermont-Ferrand à Aix-en-Provence.,Clermont-Ferrand,Aix-en-Provence
"De Orléans à Perpignan, le train est mon choix préféré.",Orléans,Perpignan
Le train est le meilleur moyen de se rendre de Tourcoing à Saint-Denis.,Tourcoing,Saint-Denis
Mon prochain voyage sera de Nîmes à Saint-Denis en train.,Nîmes,Saint-Denis
"De Amiens à Nantes, le train est le choix le plus pratique.",Amiens,Nantes
Mon prochain voyage sera de Nantes à Toulon en train.,Nantes,Toulon
Je vais explorer Clermont-Ferrand en train en partant de Besançon.,Besançon,Clermont-Ferrand
Je souhaite découvrir Montpellier en prenant le train depuis Le Havre.,Le Havre,Montpellier
Je prévois de voyager de Rennes à Pau en train.,Rennes,Pau
"Allons de Clermont-Ferrand à Marseille en train, qu'en penses-tu ?",Clermont-Ferrand,Marseille
"De Lyon à Saint-Denis, le train est mon choix préféré.",Lyon,Saint-Denis
Le voyage de Bordeaux à Clermont-Ferrand en train est une excellente idée.,Bordeaux,Clermont-Ferrand
Le trajet en train de Orléans à Lille est long mais pittoresque.,Orléans,Lille
"Voyager de Besançon à Saint-Denis en train, est-ce une option possible ?",Besançon,Saint-Denis
Je souhaite découvrir Rouen en prenant le train depuis Calais.,Calais,Rouen
"De Amiens à Pau, le train est mon choix préféré.",Amiens,Pau
Je m'apprête à réserver un billet de train pour Paris depuis Rennes.,Rennes,Paris
Le train de Tourcoing à Pau est-il disponible demain ?,Tourcoing,Pau
Partir de Orléans pour Nice en train serait génial.,Orléans,Nice
Je vais explorer Lyon en train en partant de Montpellier.,Montpellier,Lyon
Le voyage de Orléans à Nîmes en train est une excellente idée.,Orléans,Nîmes
Le train est le meilleur moyen de se rendre de Nice à Nîmes.,Nice,Nîmes
Je vais explorer Tourcoing en train en partant de Le Mans.,Le Mans,Tourcoing
Je prévois de voyager de Calais à Lyon en train.,Calais,Lyon
"De Saint-Denis à Lille, le train est le choix le plus pratique.",Saint-Denis,Lille
"Voyager de Clermont-Ferrand à Lille en train, est-ce une option possible ?",Clermont-Ferrand,Lille
Je prévois de voyager de Saint-Denis à Nîmes en train.,Saint-Denis,Nîmes
"De Paris à Strasbourg, le train est mon choix préféré.",Paris,Strasbourg
"Allons de Toulon à Saint-Étienne en train, qu'en penses-tu ?",Toulon,Saint-Étienne
Je rêve de visiter Toulon en prenant le train depuis Calais.,Calais,Toulon
"De Saint-Étienne à Toulouse, le train est le choix le plus pratique.",Saint-Étienne,Toulouse
Partir de Lille pour Bordeaux en train serait génial.,Lille,Bordeaux
Le trajet en train de Lyon à Rouen est long mais pittoresque.,Lyon,Rouen
"Voyager de Calais à Marseille en train, est-ce une option possible ?",Calais,Marseille
Je rêve de faire un voyage en train de Nantes à Strasbourg.,Nantes,Strasbourg
Je vais explorer Clermont-Ferrand en train en partant de La Rochelle.,La Rochelle,Clermont-Ferrand
Je rêve de faire un voyage en train de Calais à Lyon.,Calais,Lyon
Je prévois de voyager de Aix-en-Provence à Orléans en train.,Aix-en-Provence,Orléans
"Pour mes prochaines vacances, je vais de Saint-Étienne à Toulon en train.",Saint-Étienne,Toulon
"Allons de Calais à Besançon en train, qu'en penses-tu ?",Calais,Besançon
Le train de Orléans à Limoges offre une vue magnifique.,Orléans,Limoges
Le train de Amiens à Rennes est-il disponible demain ?,Amiens,Rennes
Le train est le meilleur moyen de se rendre de Toulouse à Paris.,Toulouse,Paris
Je prévois de voyager de Le Havre à Strasbourg en train.,Le Havre,Strasbourg
Je souhaite découvrir Amiens en prenant le train depuis Béziers.,Béziers,Amiens
Je rêve de visiter Strasbourg en prenant le train depuis Marseille.,Marseille,Strasbourg
"De Nantes à Calais, le train est le choix le plus pratique.",Nantes,Calais
Je vais explorer Saint-Étienne en train en partant de Perpignan.,Perpignan,Saint-Étienne
Je veux prendre le train de Nice à Montpellier.,Nice,Montpellier
Je prévois de voyager de Amiens à Saint-Denis en train.,Amiens,Saint-Denis
"Voyager de Saint-Denis à Pau en train, est-ce une option possible ?",Saint-Denis,Pau
Je rêve de visiter Saint-Denis en prenant le train depuis Tourcoing.,Tourcoing,Saint-Denis
"De Bordeaux à Lyon, le train est le choix le plus pratique.",Bordeaux,Lyon
Le train est le meilleur moyen de se rendre de Marseille à Tourcoing.,Marseille,Tourcoing
"Pour mes prochaines vacances, je vais de Clermont-Ferrand à Le Mans en train.",Clermont-Ferrand,Le Mans
Strasbourg est une belle ville. Je veux y aller en train depuis Aix-en-Provence.,Aix-en-Provence,Strasbourg
Le voyage de Paris à Bordeaux en train est une excellente idée.,Paris,Bordeaux
Je vais explorer Limoges en train en partant de Paris.,Paris,Limoges
Marseille est une belle ville. Je veux y aller en train depuis Limoges.,Limoges,Marseille
Je songe à voyager en train de Le Mans vers Nîmes.,Le Mans,Nîmes
Je veux prendre le train de Pau à Rennes.,Pau,Rennes
J'ai prévu de partir en train de La Rochelle à Toulon.,La Rochelle,Toulon
Je rêve de faire un voyage en train de Le Havre à Tourcoing.,Le Havre,Tourcoing
Je prévois de voyager de La Rochelle à Limoges en train.,La Rochelle,Limoges
Je veux prendre le train de Toulon à Limoges.,Toulon,Limoges
Le trajet en train de Nîmes à Limoges est long mais pittoresque.,Nîmes,Limoges
Je rêve de visiter Le Havre en prenant le train depuis Le Mans.,Le Mans,Le Havre
Paris est une belle ville. Je veux y aller en train depuis Pau.,Pau,Paris
Le train de Bordeaux à Nantes est-il disponible demain ?,Bordeaux,Nantes
Le voyage de Paris à Le Mans en train est une excellente idée.,Paris,Le Mans
Mon prochain voyage sera de Le Havre à Le Mans en train.,Le Havre,Le Mans
J'ai prévu de partir en train de Lille à Pau.,Lille,Pau
Pourquoi ne pas partir de Le Havre à Nîmes en train ce week-end ?,Le Havre,Nîmes
Je m'apprête à réserver un billet de train pour Nantes depuis Lyon.,Lyon,Nantes
Je rêve de faire un voyage en train de Lille à Limoges.,Lille,Limoges
Je m'apprête à réserver un billet de train pour La Rochelle depuis Saint-Étienne.,Saint-Étienne,La Rochelle
Le voyage de Aix-en-Provence à Perpignan en train est une excellente idée.,Aix-en-Provence,Perpignan
Pourquoi ne pas partir de Béziers à Strasbourg en train ce week-end ?,Béziers,Strasbourg
Je m'apprête à réserver un billet de train pour Pau depuis Besançon.,Besançon,Pau
"Allons de Bordeaux à Saint-Étienne en train, qu'en penses-tu ?",Bordeaux,Saint-Étienne
Partir de Marseille pour Clermont-Ferrand en train serait génial.,Marseille,Clermont-Ferrand
Je prévois de voyager de Perpignan à Marseille en train.,Perpignan,Marseille
Partir de Béziers pour Besançon en train serait génial.,Béziers,Besançon
"De Toulon à Paris, le train est le choix le plus pratique.",Toulon,Paris
Je rêve de visiter Saint-Étienne en prenant le train depuis Amiens.,Amiens,Saint-Étienne
J'ai prévu de partir en train de Clermont-Ferrand à Paris.,Clermont-Ferrand,Paris
Le voyage de Béziers à Aix-en-Provence en train est une excellente idée.,Béziers,Aix-en-Provence
Le train est le meilleur moyen de se rendre de Lille à Orléans.,Lille,Orléans
Le train est le meilleur moyen de se rendre de Lyon à Toulouse.,Lyon,Toulouse
Je m'apprête à réserver un billet de train pour Pau depuis Tourcoing.,Tourcoing,Pau
Je souhaite découvrir Pau en prenant le train depuis Lille.,Lille,Pau
Pourquoi ne pas partir de Béziers à Calais en train ce week-end ?,Béziers,Calais
Partir de Nice pour Perpignan en train serait génial.,Nice,Perpignan
C'est le moment idéal pour un voyage de Tourcoing à Paris en train.,Tourcoing,Paris
Je veux prendre le train de Strasbourg à Nice.,Strasbourg,Nice
"De Limoges à Pau, le train est le choix le plus pratique.",Limoges,Pau
Le train de Toulon à Montpellier offre une vue magnifique.,Toulon,Montpellier
Mon prochain voyage sera de Aix-en-Provence à Lyon en train.,Aix-en-Provence,Lyon
"Allons de Bordeaux à Marseille en train, qu'en penses-tu ?",Bordeaux,Marseille
Le train est le meilleur moyen de se rendre de Nice à Saint-Denis.,Nice,Saint-Denis
"Allons de Paris à Saint-Étienne en train, qu'en penses-tu ?",Paris,Saint-Étienne
"De Aix-en-Provence à Pau, le train est mon choix préféré.",Aix-en-Provence,Pau
"Allons de Besançon à Amiens en train, qu'en penses-tu ?",Besançon,Amiens
Je rêve de visiter Montpellier en prenant le train depuis Rennes.,Rennes,Montpellier
Le train est le meilleur moyen de se rendre de Le Mans à Béziers.,Le Mans,Béziers
Partir de Orléans pour Aix-en-Provence en train serait génial.,Orléans,Aix-en-Provence
"Allons de Lyon à Nîmes en train, qu'en penses-tu ?",Lyon,Nîmes
Pourquoi ne pas partir de Tourcoing à Paris en train ce week-end ?,Tourcoing,Paris
Le voyage de Le Mans à Calais en train est une excellente idée.,Le Mans,Calais
J'ai prévu de partir en train de Le Mans à Rouen.,Le Mans,Rouen
Je vais explorer Besançon en train en partant de Pau.,Pau,Besançon
"De Strasbourg à Rennes, le train est mon choix préféré.",Strasbourg,Rennes
"Allons de Calais à Marseille en train, qu'en penses-tu ?",Calais,Marseille
Le voyage de Besançon à Orléans en train est une excellente idée.,Besançon,Orléans
Le train de Lille à Toulouse est-il disponible demain ?,Lille,Toulouse
Perpignan est une belle ville. Je veux y aller en train depuis Le Mans.,Le Mans,Perpignan
Le trajet en train de Perpignan à Montpellier est long mais pittoresque.,Perpignan,Montpellier
Je m'apprête à réserver un billet de train pour Marseille depuis Le Havre.,Le Havre,Marseille
"Allons de Rennes à Limoges en train, qu'en penses-tu ?",Rennes,Limoges
C'est le moment idéal pour un voyage de Amiens à Rouen en train.,Amiens,Rouen
Partir de Béziers pour Toulouse en train serait génial.,Béziers,Toulouse
Je m'apprête à réserver un billet de train pour Lille depuis Toulouse.,Toulouse,Lille
Je rêve de visiter Tourcoing en prenant le train depuis Nantes.,Nantes,Tourcoing
"De Pau à La Rochelle, le train est mon choix préféré.",Pau,La Rochelle
Je m'apprête à réserver un billet de train pour Besançon depuis Bordeaux.,Bordeaux,Besançon
Je souhaite découvrir Nîmes en prenant le train depuis Perpignan.,Perpignan,Nîmes
Je veux prendre le train de Lyon à Saint-Étienne.,Lyon,Saint-Étienne
"Pour mes prochaines vacances, je vais de Béziers à Bordeaux en train.",Béziers,Bordeaux
Je m'apprête à réserver un billet de train pour Bordeaux depuis Clermont-Ferrand.,Clermont-Ferrand,Bordeaux
